cornerstone_investor,stock_code,company_name
Junshi Hong Kong Limited,02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
Jupiter Global Master Fund Ltd.,00600,"Axera Semiconductor Co., Ltd. - H shares"
"Kelingan (Hong Kong) Technology Co., Limited",02617,"TransThera Sciences (Nanjing), Inc. - B - H shares"
KIL,03296,"Huaqin Co., Ltd. - H Shares"
KingMed Diagnostics (Hong Kong) Limited,02677,Distinct Healthcare Holdings Limited
Kuwait Investment Authority,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Lake Bleu Innovation Fund,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
Lake Bleu Innovation Healthcare Master Fund Limited,09606,"Duality Biotherapeutics, Inc. - B"
Lake Bleu Prime Healthcare Fund,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
Lake Bleu Prime Healthcare Master Fund Limited,09606,"Duality Biotherapeutics, Inc. - B"
LAV Star Opportunities Limited,09606,"Duality Biotherapeutics, Inc. - B"
Lazurite Hime L.P.,06656,"Sigenergy Technology Co., Ltd. - H Shares"
LBC HK Opportunity Fund,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
Lenovo,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Lens International (HK) Limited,02579,"CNGR Advanced Material Co., Ltd. - H shares"
LI Huifeng,02591,"Guangzhou Innogen Pharmaceutical Group Co., Ltd. - B - H shares"
Li Shuhan,09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
Lilly,03696,InSilico Medicine Cayman TopCo
Lin Xiaojian,09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
Lingbao Gold International Company Limited,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
Lingotto Innovation Master Fund,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Lion Global Investors Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
LMR Multi-Strategy Master Fund Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
LMR Multi-Strategy Master Fund Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
LMR Multi-Strategy Master Fund Limited,06613,"Lens Technology Co., Ltd. - H shares"
Logic Selective Value Investment Funds SPC,02671,"USAS Building System (Shanghai) Co., Ltd. - H shares"
"Long-Z Fund I, LP",01364,Guming Holdings Limited
"Long-Z Fund I, LP",02097,MIXUE Group - H shares
Longhorn and CICC Financial Trading Limited (in connection with Longhorn OTC Swaps),00600,"Axera Semiconductor Co., Ltd. - H shares"
Loyal Valley Capital,02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
Loyal Valley Capital Advantage Fund III LP,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
"Luhua Daosheng (Beijing) Enterprise Management & Development Co., Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Luminous Horizon Limited,02768,"Qingdao Gon Technology Co., Ltd. - H shares"
"Luoyang Science Technology Innovate Group, Ltd",03750,"Contemporary Amperex Technology Co., Limited - H shares"
LUYIN TRADING PTE. LTD.,03858,Jiaxin International Resources Investment Limited
LVC,01364,Guming Holdings Limited
"LYFE Capital Fund IV (Dragon), L.P.",02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
M&G Investments,02097,MIXUE Group - H shares
M&G Investors,07618,"JINGDONG Industrials, Inc."
Main Achieve Holdings Limited,09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
Main Source Capital,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Main Source Capital Limited,03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
Management Company Limited,03881,CiDi Inc. - H shares
Manifold Master Fund,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
Marketingforce Management Ltd,02591,"Guangzhou Innogen Pharmaceutical Group Co., Ltd. - B - H shares"
"Martis Fund, L.P.",00100,MiniMax Group Inc. - W - P
"Martis Fund, L.P.",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"Martis Fund, L.P.",06166,"CIG SHANGHAI CO., LTD. - H shares"
"Martis Fund, L.P.",09973,"Chery Automobile Co., Ltd. - H shares"
MC Management,01828,FWD Group Holdings Limited
Mega Prime,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Mega Prime Development Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Mega Prime Development Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Mega Prime Development Limited,02657,"SHANGHAI FOREST CABIN COSMETICS GROUP CO., LTD. - H shares"
Mega Prime Development Limited,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Mega Prime Development Limited,02706,"Beijing Haizhi Technology Group Co., Ltd. - H Shares"
Mega Prime Development Limited,06603,IFBH Limited
"Meiko Elec. Hong Kong Co., Limited",03268,"MeiG Smart Technology Co., Ltd. - H Shares"
Mercedes-Benz Mobility Services GmbH,02643,CaoCao Inc.
Mercuria Holdings (Singapore) Pte. Ltd.,02788,Chuangxin Industries Holdings Limited
Metazone Link (HK) Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Metazone Link (HK) Limited,03986,GigaDevice Semiconductor Inc. - H shares
Midea Development Holding (BVI) Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Millennium Capital Management (Singapore) Pte. Ltd.,02259,Zijin Gold International Company Limited
Mingxin Growth Ventures LS2 Limited,06938,"Suzhou Ribo Life Science Co., Ltd. - B - H shares"
Mininglamp Technology,02677,Distinct Healthcare Holdings Limited
Minwise Business Consulting Limited,02508,SAINT BELLA Inc.
"Mirae Asset Global Investments Co., Ltd.",02259,Zijin Gold International Company Limited
"Mirae Asset Global Investments Co., Ltd.",03750,"Contemporary Amperex Technology Co., Limited - H shares"
Mirae Asset Securities (HK) Limited,02631,"SICC CO., LTD. - H shares"
Mirae Asset Securities (HK) Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Mirae Asset Securities (HK) Ltd.,02259,Zijin Gold International Company Limited
"Mirae Asset Securities Co., Ltd",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"Mirae Asset Securities Co., Ltd",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"Mirae Asset Securities Co., Ltd.",00068,Manycore Tech Inc.
"Mirae Asset Securities Co., Ltd.",00100,MiniMax Group Inc. - W - P
"Mirae Asset Securities Co., Ltd.",02259,Zijin Gold International Company Limited
"Mirae Asset Securities Co., Ltd.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
"Mirae Asset Securities Co., Ltd.",06809,"Montage Technology Co., Ltd. - H shares"
"Mirae Asset Securities Co., Ltd.",09927,"Seres Group Co., Ltd. - H shares"
Mirae Asset Securities HK,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Mirae Asset Securities HK,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Mirae Asset Securities Ltd.,02643,CaoCao Inc.
"Modern Direct Investment New Energy Technology Co., Limited",02865,"Hainan Drinda New Energy Technology Co., Ltd. - H shares"
Morgan Stanley & Co. International plc,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
Morgan Stanley & Co. International plc,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
Morgan Stanley & Co. International plc,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Morgan Stanley & Co. International plc,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Morgan Stanley & Co. International plc,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Morgan Stanley & Co. International plc,06166,"CIG SHANGHAI CO., LTD. - H shares"
MPC VII Pte. Ltd.,00100,MiniMax Group Inc. - W - P
Mr. An Jiangbo,02701,Nsing Technologies Inc. - H Shares
Mr. He Maoling,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Mr. Lan Kun,02631,"SICC CO., LTD. - H shares"
Mr. Luo Jie,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
"Mr. Shu Wa Tung, Laurence",02613,"ContiOcean Environment Tech Group Co., Ltd. - H shares"
Mr. Zhang Xiaolei,00638,Fibocom Wireless Inc. - H shares
Ms. Christine Tai,02701,Nsing Technologies Inc. - H Shares
Ms. Lina Bao,02718,Mininglamp Technology - W
Ms. Minfang Guo,02718,Mininglamp Technology - W
Ms. Shen Zhenyu,02603,"Xiamen Jihong Co., Ltd - H shares"
MX Bright Charm (BVI) Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
"MY Asian Opportunities Master Fund, L.P.",00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
"MY Asian Opportunities Master Fund, L.P.",01989,Delton Technology (Guangzhou) Inc. - H Shares
"MY Asian Opportunities Master Fund, L.P.",02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
"MY Asian Opportunities Master Fund, L.P.",06082,"Shanghai Biren Technology Co., Ltd.- H shares"
"MY Asian Opportunities Master Fund, L.P.",06809,"Montage Technology Co., Ltd. - H shares"
"MY Asian Opportunities Master Fund, L.P.",09606,"Duality Biotherapeutics, Inc. - B"
Nanchang Zhengtong Equity Investment Fund Partnership (Limited Partnership),06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Nebula,09678,"Unisound AI Technology Co., Ltd. - H shares"
New Alternative Limited,03986,GigaDevice Semiconductor Inc. - H shares
New Alternative Limited,06809,"Montage Technology Co., Ltd. - H shares"
New Alternative Limited,09927,"Seres Group Co., Ltd. - H shares"
New Asia Ferrell Asset Management Limited,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
New China Asset Management,03296,"Huaqin Co., Ltd. - H Shares"
New China Asset Management (Hong Kong) Limited,03986,GigaDevice Semiconductor Inc. - H shares
New China Asset Management (Hong Kong) Limited,09927,"Seres Group Co., Ltd. - H shares"
New Fortune Holdings Group Limited,02715,"ESTUN AUTOMATION CO., LTD - H Shares"
New Golden Future Limited,02259,Zijin Gold International Company Limited
New Golden Future Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
New Golden Future Limited,03317,"Shenzhen Xunce Technology Co., Ltd.- H shares"
New Golden Future Limited,03986,GigaDevice Semiconductor Inc. - H shares
New Golden Future Limited,06809,"Montage Technology Co., Ltd. - H shares"
New Harvest Wealth Securities Company Limited,02768,"Qingdao Gon Technology Co., Ltd. - H shares"
New Opportunities SPC,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
NewTrails Capital L.P.,02698,Softcare Limited
NEWTRAILS FOREST L.P.,02698,Softcare Limited
Ng Chi Fat,09881,"Rongta Technology (Xiamen) Group Co., Ltd. - H shares"
NGS Super Pty Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
Nice First Investments Limited,02768,"Qingdao Gon Technology Co., Ltd. - H shares"
"Ningbo Xinzhi Industrial Investment Co., Ltd.",00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
NonaVerse (Hong Kong) Limited,00600,"Axera Semiconductor Co., Ltd. - H shares"
NonaVerse (Hong Kong) Limited,02648,"Anjoy Foods Group Co., Ltd. - H shares"
NR 1 SP,02579,"CNGR Advanced Material Co., Ltd. - H shares"
NR 1 SP,03636,"Yunnan Jinxun Resources Co., Ltd. - H shares"
Oaktree,03696,InSilico Medicine Cayman TopCo
"Oaktree Capital Management, L.P.",00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
"Oaktree Capital Management, L.P.",01276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H shares"
"Oaktree Capital Management, L.P.",02259,Zijin Gold International Company Limited
"Oaktree Capital Management, L.P.",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"Oaktree Capital Management, L.P.",06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
"Oaktree Capital Management, L.P.",06613,"Lens Technology Co., Ltd. - H shares"
Oakwise Growth Fund,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Ocean Arete Limited,02026,Pony AI Inc. - W
Ocean Fine Industrial Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
OCM Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Olympic Country Company Limited,06613,"Lens Technology Co., Ltd. - H shares"
OmniVision HK,03296,"Huaqin Co., Ltd. - H Shares"
Open Wealth Management Limited,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
"OrbiMed Genesis Master Fund, L.P.",02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
"OrbiMed Genesis Master Fund, L.P.",02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
"OrbiMed Genesis Master Fund, L.P.",09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
OrbiMed Partners Master Fund Limited,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
"Orbit Venture Capital Management Co., Limited",02720,Ridge Outdoor International Limited
Oriza Naxin,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
Ovata Capital Management Limited,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
Ovata Capital Management Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Pacific Asset Management,00638,Fibocom Wireless Inc. - H shares
"Pacific Asset Management Co., Limited",02259,Zijin Gold International Company Limited
"Pacific Asset Management Co., Limited",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"Pacific Asset Management Co., Ltd.",03696,InSilico Medicine Cayman TopCo
Pacific Century Pines Investments 1 Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Panjing Harbourview Investment Fund,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Panjing Harbourview Investment Fund,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Panjing Harbourview Investment Fund,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Panjing Harbourview Investment Fund,09606,"Duality Biotherapeutics, Inc. - B"
Perseverance Asset Management,02676,"Suzhou Novosense Microelectronics Co., Ltd. - H shares"
Perseverance Asset Management,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
Perseverance Asset Management,03296,"Huaqin Co., Ltd. - H Shares"
Perseverance Asset Management International (Singapore) Pte. Ltd.,00100,MiniMax Group Inc. - W - P
Perseverance Asset Management International (Singapore) Pte. Ltd.,02259,Zijin Gold International Company Limited
Perseverance Asset Management International (Singapore) Pte. Ltd.,02714,"Muyuan Foods Co., Ltd. - H shares"
Perseverance Asset Management International (Singapore) Pte. Ltd.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Perseverance Asset Management International (Singapore) Pte. Ltd.,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Perseverance Asset Management International (Singapore) Pte. Ltd.,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Perseverance Asset Management International (Singapore) Pte. Ltd.,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Perseverance Asset Management International (Singapore) Pte. Ltd.,06687,JST Group Corporation Limited
Perseverance Asset Management International (Singapore) Pte. Ltd.,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Persistence Growth Limited,02097,MIXUE Group - H shares
Pharmablock Horizon Capital Limited,02617,"TransThera Sciences (Nanjing), Inc. - B - H shares"
Pimlico Family Office Limited,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
Ping An AM,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
"Ping An Life Insurance Company of China, Ltd.",06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Ping An of China Asset Management (Hong Kong) Company Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
Pingmei Shenma International Investment Limited,02693,"ANHUI JINYAN KAOLIN NEW MATERIALS CO., LTD. - H shares"
Pinpoint,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
Pinpoint Asset Management Limited,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
Pinpoint Asset Management Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Pinpoint Asset Management Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Pinpoint Asset Management Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Pinpoint Asset Management Limited,09980,"Eastroc Beverage (Group) Co., Ltd. - H shares"
Pointer Investment (H.K.) Ltd.,02788,Chuangxin Industries Holdings Limited
Pointer Investment (Hong Kong) Limited,02579,"CNGR Advanced Material Co., Ltd. - H shares"
Poly Platinum Enterprise Limited,06613,"Lens Technology Co., Ltd. - H shares"
Poly Platinum Enterprises Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Poly Platinum Enterprises Limited,02546,"Xizang Zhihui Mining Co., Ltd. - H shares"
Poly Platinum Enterprises Limited,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Polymer Capital Management (HK) Limited,02788,Chuangxin Industries Holdings Limited
Profit Channel Development Limited,03887,HashKey Holdings Limited
Protium Capital Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
"PSBC Wealth Management Co., Ltd (through GF Securities Asset Management (Guangdong) Co., Ltd as the qualified domestic institutional investor)",09973,"Chery Automobile Co., Ltd. - H shares"
"PSBC Wealth Management Co., Ltd.",00699,NINGBO JOYSON ELECTRONIC CORP.- H shares
"PSBC Wealth Management Co., Ltd.",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"PSBC Wealth Management Co., Ltd.",02580,"AUX ELECTRIC CO., LTD."
"PSBC Wealth Management Co., Ltd.",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"PSBC Wealth Management Co., Ltd.",06809,"Montage Technology Co., Ltd. - H shares"
"PSBC Wealth Management Co., Ltd.",09927,"Seres Group Co., Ltd. - H shares"
"PSBC Wealth Management Co., Ltd. (through GF Securities Asset Management (Guangdong) Co., Ltd as the qualified domestic institutional investor)",00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
PT Indika Energy Tbk.,02610,Nanshan Aluminium International Holdings Limited
Pu Xin Guotai Junan Investments (Hong Kong) Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
"Pudong Science and Technology (Cayman) Co., Ltd.",00501,"OmniVision Integrated Circuits Group, Inc. - H shares"
Qianhai Hezhong Investment Holding Limited,02715,"ESTUN AUTOMATION CO., LTD - H Shares"
Qianhai Kaiyuan Qunwei QDII Single Asset Management Plan,03881,CiDi Inc. - H shares
Qianhai Starlight Capital SPC,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Qihui Runjin (Qingdao) Private Equity Investment Fund Partnership (Limited Partnership) (啟匯潤金 (青島)私募股權投資基金合夥企業(有限合夥)),02698,Softcare Limited
Qiming Venture Partners,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Qin Wan Investment Limited,09903,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. - H shares"
Qindao Gantong,00638,Fibocom Wireless Inc. - H shares
Qingdao Guanlan and Guotai Junan Investments (Hong Kong) Limited,09611,"Shanghai Longcheer Technology Co., Ltd.- H shares"
Qingdao Guanlan and Guotai Junan Investments (Hong Kong) Limited (in connection with Guanlan OTC Swaps),00600,"Axera Semiconductor Co., Ltd. - H shares"
QM120 Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
QM125 Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
QRT Master Fund SPC,06613,"Lens Technology Co., Ltd. - H shares"
"QRT Master Fund SPC and its segregated portfolio Torus Fund SP, which is managed by Qube Research & Technologies Hong Kong Limited and certain affiliates of QRT HK",02648,"Anjoy Foods Group Co., Ltd. - H shares"
Qualcomm Ventures LLC,09611,"Shanghai Longcheer Technology Co., Ltd.- H shares"
QuantumPharm Limited,02718,Mininglamp Technology - W
Qube Master Fund Ltd,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
Qube Master Fund Ltd,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Qube Master Fund Ltd,06809,"Montage Technology Co., Ltd. - H shares"
RBC Global Asset Management (Asia) Limited,02259,Zijin Gold International Company Limited
RBC Global Asset Management (Asia) Limited,02714,"Muyuan Foods Co., Ltd. - H shares"
RBC Global Asset Management (Asia) Limited,03288,Foshan Haitian Flavouring and Food Company Ltd. - H shares
RBC Global Asset Management (Asia) Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
RBC Global Asset Management (Asia) Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
REDWOOD ELITE LIMITED,00068,Manycore Tech Inc.
Redwood Elite Limited,06613,"Lens Technology Co., Ltd. - H shares"
Reijong International Industrial Equipment Limited,02610,Nanshan Aluminium International Holdings Limited
Reynold Lemkins Group (Asia) Limited,02561,VISEN Pharmaceuticals -B
Richfirm (Hong Kong) Development Limited,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
RIME,02692,"Shenzhen Zhaowei Machinery & Electronics Co., Ltd. - H Shares"
RIME Capital Limited,00068,Manycore Tech Inc.
RIME Capital Limited,02655,"Guoxia Technology Co., Ltd. - H shares"
RIME Capital Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
River Stone Pacific Capital Limited,02635,"Nuobikan Artificial Intelligence Technology (Chengdu) Co., Ltd. - H shares"
RoboSense HongKong Limited,02643,CaoCao Inc.
Rome Garden Holding Limited,00470,"WUXI LEAD INTELLIGENT EQUIPMENT CO., LTD. - H shares"
RSC Ltd,01828,FWD Group Holdings Limited
RTW,03696,InSilico Medicine Cayman TopCo
RTW Biotech Opportunities Operating Ltd.,02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
"RTW Innovation Master Fund, Ltd.",02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
"RTW Master Fund, Ltd.",02595,GenFleet Therapeutics (Shanghai) Inc - B - H shares
Ruihua (International) Investment Limited,02476,"Victory Giant Technology (HuiZhou) Co., Ltd. - H Shares"
Ruihua Investment,00638,Fibocom Wireless Inc. - H shares
Runjian International,09678,"Unisound AI Technology Co., Ltd. - H shares"
Sage Partners Master Fund,02675,"Shenzhen Edge Medical Co., Ltd.- B - H shares"
Sage Partners Master Fund,03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
Sage Partners Master Fund,06600,"OneRobotics (Shenzhen) Co., Ltd.- H shares"
Sage Partners Master Fund,09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Samson Group Limited,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
Sanhua (Hong Kong) Co Limited,09927,"Seres Group Co., Ltd. - H shares"
Sanhua International Singapore,01304,"Fortior Technology (Shenzhen) Co., Ltd.- H shares"
"Sanjin International Co., Ltd.",02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
SCC Foresight Ventures Ltd.,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Scene Cloud Global Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
SCGC Capital Holding Company Limited,02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
SCGC Capital Holding Company Limited,03355,FS.COM Ltd. - H Shares
Schonfeld,07618,"JINGDONG Industrials, Inc."
Schonfeld Strategic Advisors (Hong Kong) Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
Schroder Investment Management (Hong Kong) Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Schroder Investment Management (Hong Kong) Limited,02259,Zijin Gold International Company Limited
Schroder Investment Management (Hong Kong) Limited,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Schroder Investment Management (Hong Kong) Limited,09927,"Seres Group Co., Ltd. - H shares"
Schroder Investment Management (Singapore) Ltd,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Schroder Investment Management (Singapore) Ltd,02259,Zijin Gold International Company Limited
Schroder Investment Management (Singapore) Ltd,03200,"Shenzhen Han’s CNC Technology Co., Ltd. - H shares"
Schroder Investment Management (Singapore) Ltd,09927,"Seres Group Co., Ltd. - H shares"
Schroder Investment Management Limited,02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
Schroder Investment Management Limited,02259,Zijin Gold International Company Limited
Schroders,01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Schroders,03696,InSilico Medicine Cayman TopCo
SCV Alpha LP,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
SDG Asset Management (HK) Limited,02631,"SICC CO., LTD. - H shares"
SensePower,09678,"Unisound AI Technology Co., Ltd. - H shares"
Seraphim Advantage Inc.,06168,"Zhou Liu Fu Jewellery Co., Ltd. - H shares"
"Shaanxi Fast Auto Drive Group Co., Ltd.",06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Shanghai Gaoyi and CICC FT,03296,"Huaqin Co., Ltd. - H Shares"
Shanghai Gaoyi and CITIC Securities International Capital Management Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Shanghai Gaoyi and Huatai Capital Investment Limited (in connection with Gaoyi OTC Swaps),02579,"CNGR Advanced Material Co., Ltd. - H shares"
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),02259,Zijin Gold International Company Limited
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),02714,"Muyuan Foods Co., Ltd. - H shares"
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),03750,"Contemporary Amperex Technology Co., Limited - H shares"
Shanghai Gaoyi Asset Management Partnership (Limited Partnership),09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Shanghai Greenwoods and CICC Financial Trading Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Shanghai Greenwoods and CICC FT (in connection with Greenwoods OTC Swaps),01879,"Shanghai Xizhi Technology Co., Ltd. - P - H Shares"
Shanghai Greenwoods and CITIC Securities International Capital Management Limited,01989,Delton Technology (Guangzhou) Inc. - H Shares
Shanghai Greenwoods and Huatai Capital Investment Limited,09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
"Shanghai Greenwoods Asset Management Co., Ltd",02050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd",02259,Zijin Gold International Company Limited
"Shanghai Greenwoods Asset Management Co., Ltd",03750,"Contemporary Amperex Technology Co., Limited - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd and CICC Financial Trading Limited (in connection with Greenwoods OTC Swaps)",09973,"Chery Automobile Co., Ltd. - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd.",02648,"Anjoy Foods Group Co., Ltd. - H shares"
"Shanghai Greenwoods Asset Management Co., Ltd.",03277,Gpixel Changchun Microelectronics Inc. - H Shares
"Shanghai Greenwoods Asset Management Co., Ltd.",03986,GigaDevice Semiconductor Inc. - H shares
"Shanghai Greenwoods Asset Management Co., Ltd. and CICC Financial Trading Limited",02788,Chuangxin Industries Holdings Limited
Shanghai Haitong Zhida Private Equity Investment Fund Partnership (Limited Partnership),06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Shanghai Intewise Capital Investment Limited ultimate clients and CICC Financial Trading Limited (in connection with Shanghai Intewise OTC Swaps),03355,FS.COM Ltd. - H Shares
"Shanghai Lujiazui (Group) Co., Ltd.",06656,"Sigenergy Technology Co., Ltd. - H Shares"
Shanghai Pinpoint and CICC Financial Trading Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
