cornerstone_investor,stock_code,company_name
Greenwoods Asset Management Hong Kong Limited,02788,Chuangxin Industries Holdings Limited
Greenwoods Asset Management Hong Kong Limited,03277,Gpixel Changchun Microelectronics Inc. - H Shares
Greenwoods Asset Management Hong Kong Limited,03750,"Contemporary Amperex Technology Co., Limited - H shares"
Greenwoods Asset Management Hong Kong Limited,06031,"SANY HEAVY INDUSTRY CO., LTD. - H shares"
Greenwoods Asset Management Hong Kong Limited,06656,"Sigenergy Technology Co., Ltd. - H Shares"
Greenwoods Asset Management Hong Kong Limited,06687,JST Group Corporation Limited
Greenwoods Asset Management Hong Kong Limited,09973,"Chery Automobile Co., Ltd. - H shares"
GTCS Holdings Limited,06687,JST Group Corporation Limited
GTINV,00638,Fibocom Wireless Inc. - H shares
"Guangdong Primitive Forest Fund Management Co., Ltd",02658,"Guangdong Tianyu Semiconductor Co., Ltd. - H shares"
"Guangdong Zongxing Technology Co., Ltd.",02560,"Anhui Conch Material Technology Co., Ltd. - H shares"
Guizhou New Industrialization Development Equity Investment Fund Partnership (Limited Partnership),02579,"CNGR Advanced Material Co., Ltd. - H shares"
"Guohua Life Insurance Co., Ltd.",02701,Nsing Technologies Inc. - H Shares
"Guohui (HK) Holdings Co., Limited",00068,Manycore Tech Inc.
"Guohui (HK) Holdings Co., Limited",02493,"Mabwell (Shanghai) Bioscience Co., Ltd. - B - H Shares"
"Guohui (HK) Holdings Co., Limited",09981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares"
Guotai Junan Investments (Hong Kong) Limited,02408,"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares"
Guotai Junan Investments (Hong Kong) Limited,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Guotai Junan Investments (Hong Kong) Limited (in connection with the Kunyang OTC Swaps),03378,"Hanx Biopharmaceuticals (Wuhan) Co., Ltd. - B - H shares"
Guotai Junan Investments (Hong Kong) Limited (in connection with the Zhonghe OTC Swaps),02659,"Shanghai Bao Pharmaceuticals Co., Ltd. - B - H shares"
"H&T Intelligent Control International Co., Limited",02631,"SICC CO., LTD. - H shares"
Hai Di Lao Holdings Pte. Ltd.,02408,"Guangzhou Xiao Noodles Catering Management Co., Ltd.- H shares"
Haitian Huayuan (Singapore) Pte. Ltd.,02715,"ESTUN AUTOMATION CO., LTD - H Shares"
"Hankang Biotech Fund III, L.P.",09887,"Nanjing Leads Biolabs Co., Ltd. - B - H shares"
Hao Great China Focus Fund,03355,FS.COM Ltd. - H Shares
Hao Great China Focus Fund,06082,"Shanghai Biren Technology Co., Ltd.- H shares"
Haojun Investment and HTCI,01021,"Guangdong Huayan Robotics Co., Ltd. - H Shares"
Harvest,03696,InSilico Medicine Cayman TopCo
Harvest International Premium Value (Secondary Market) Fund SPC acting on behalf of and for the account of Harvest Oriental SP,02543,"DAHON TECH (SHENZHEN) CO., LTD. - H shares"
Harvest International Premium Value (Secondary Market) Fund SPC on behalf of Harvest Oriental SP,03268,"MeiG Smart Technology Co., Ltd. - H Shares"
Harvest International Premium Value Fund SPC acting on behalf of and for the account of Harvest Oriental SP,02609,Bayzed Health Group Inc
Harvest International Premium Value Fund SPC acting on behalf of and for the account of Harvest Oriental SP,02715,"ESTUN AUTOMATION CO., LTD - H Shares"
HARVEST INTERNATIONAL PREMIUM VALUE FUND SPC ACTING ON BEHALF OF AND FOR THE ACCOUNT OF HARVEST ORIENTAL SP,02637,"Fujian Haixi Pharmaceuticals Co., Ltd. - H shares"
Harvest International Premium Value Fund SPC on behalf of Harvest Oriental SP,02613,"ContiOcean Environment Tech Group Co., Ltd. - H shares"
Harvest Oriental II SP,02701,Nsing Technologies Inc. - H Shares
Harvest Oriental SP,06603,IFBH Limited
HCEP Management Limited,06166,"CIG SHANGHAI CO., LTD. - H shares"
HCEP Master Fund and HCEP Long Only Master Fund,02698,Softcare Limited
HCEP Master Fund and HCEP Long Only Master Fund,06603,IFBH Limited
